EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
an_000001,0,0.9900,RULE_ETCH_NO_MASK
an_000002,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000003,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000004,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000005,0,0.9000,RULE_DEP_NO_CLEAN
an_000006,1,0.9900,
an_000007,1,0.9800,
an_000008,1,0.9800,
an_000009,0,0.9000,RULE_LITHO_LEVEL_SKIP
an_000010,1,0.9500,
an_000011,1,0.9900,
an_000012,1,0.9900,
an_000013,1,0.9500,
an_000014,1,0.9800,
an_000015,1,0.9800,
an_000016,1,0.9800,
an_000017,0,0.0000,RULE_METAL_ETCH_NO_LITHO
an_000018,0,0.9500,RULE_IMPLANT_NO_MASK
an_000019,0,0.9500,RULE_CMP_NO_DEP
an_000020,1,0.9900,
an_000021,1,0.9900,
an_000022,1,0.9900,
an_000023,0,0.9900,RULE_ETCH_NO_MASK
an_000024,1,0.9800,
an_000025,1,0.9900,
an_000026,0,0.9900,RULE_ETCH_NO_MASK
an_000027,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000028,1,0.9900,
an_000029,1,0.9900,
an_000030,1,0.9900,
an_000031,1,0.9900,
an_000032,0,0.9500,RULE_IMPLANT_NO_MASK
an_000033,0,0.9500,RULE_ETCH_NO_MASK
an_000034,0,0.9500,RULE_DEP_NO_CLEAN
an_000035,0,0.9500,RULE_IMPLANT_NO_MASK
an_000036,1,0.9900,
an_000037,1,0.9900,
an_000038,1,0.9900,
an_000039,0,0.0500,RULE_SHIP_BEFORE_TEST
an_000040,0,0.9500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000041,0,0.9900,RULE_ETCH_NO_MASK
an_000042,1,0.9900,
an_000043,0,0.9500,RULE_CMP_NO_DEP
an_000044,1,0.9900,
an_000045,1,0.9900,
an_000046,1,0.9500,
an_000047,1,0.9900,
an_000048,0,0.9500,RULE_IMPLANT_NO_MASK
an_000049,1,0.9900,
an_000050,0,0.9500,RULE_CMP_NO_DEP
an_000051,1,0.9900,
an_000052,0,0.9800,RULE_ETCH_NO_MASK
an_000053,1,0.9900,
an_000054,1,0.9800,
an_000055,1,0.9900,
an_000056,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000057,0,0.9500,RULE_METAL_ETCH_NO_LITHO
an_000058,1,0.9500,
an_000059,1,0.9900,
an_000060,1,0.9900,
an_000061,1,0.9900,
an_000062,1,0.9900,
an_000063,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000064,0,0.9500,RULE_DEP_NO_CLEAN
an_000065,0,0.0100,RULE_SHIP_BEFORE_TEST
an_000066,1,0.9900,
an_000067,0,0.9900,RULE_PAD_OPEN_BEFORE_DEP
an_000068,0,0.9900,RULE_PAD_OPEN_BEFORE_DEP
an_000069,0,0.9900,RULE_TEST_BEFORE_PASSIVATION
an_000070,1,0.9900,
an_000071,0,0.9900,RULE_METAL_ETCH_NO_LITHO
an_000072,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000073,1,0.9800,
an_000074,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000075,1,0.9900,
an_000076,0,0.9500,RULE_ETCH_NO_MASK
an_000077,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000078,1,0.9900,
an_000079,0,0.9900,RULE_LITHO_LEVEL_SKIP
an_000080,0,0.9500,RULE_CMP_NO_DEP
an_000081,1,0.9900,
an_000082,1,0.9900,
an_000083,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000084,1,0.9900,
an_000085,1,0.9900,
an_000086,0,0.9500,RULE_CMP_NO_DEP
an_000087,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000088,1,0.9900,
an_000089,0,0.9500,RULE_ETCH_NO_MASK
an_000090,0,0.9500,RULE_ETCH_NO_MASK
an_000091,0,0.0500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000092,1,0.9900,
an_000093,1,0.9900,
an_000094,1,0.9900,
an_000095,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000096,0,0.9900,RULE_CMP_NO_DEP
an_000097,1,0.9900,
an_000098,0,0.9900,RULE_SHIP_BEFORE_TEST
an_000099,1,0.9900,
an_000100,1,1.0000,
an_000101,1,0.9900,
an_000102,1,0.9900,
an_000103,0,0.9900,RULE_METAL_ETCH_NO_LITHO
an_000104,1,0.9500,
an_000105,0,0.9000,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000106,0,0.9800,RULE_PAD_OPEN_BEFORE_DEP
an_000107,1,0.9500,
an_000108,1,0.9900,
an_000109,1,0.9900,
an_000110,0,0.9900,RULE_TEST_BEFORE_PASSIVATION
an_000111,1,1.0000,
an_000112,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000113,1,0.9900,
an_000114,0,0.9900,RULE_ETCH_NO_MASK
an_000115,1,0.9900,
an_000116,1,0.9900,
an_000117,1,0.9900,
an_000118,1,0.9800,
an_000119,0,0.9500,RULE_IMPLANT_NO_MASK
an_000120,0,0.9900,RULE_ETCH_NO_MASK
an_000121,1,0.9900,
an_000122,0,0.9800,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000123,0,0.9900,RULE_ETCH_NO_MASK
an_000124,0,0.9900,RULE_PAD_OPEN_BEFORE_DEP
an_000125,0,0.9500,RULE_ETCH_NO_MASK
an_000126,1,1.0000,
an_000127,1,0.9900,
an_000128,1,0.9900,
an_000129,1,0.9900,
an_000130,0,0.9000,RULE_DEP_NO_CLEAN
an_000131,1,0.9900,
an_000132,1,0.9900,
an_000133,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000134,0,0.9900,RULE_ETCH_NO_MASK
an_000135,0,0.9500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000136,1,0.9900,
an_000137,1,0.9800,
an_000138,1,0.9900,
an_000139,0,0.9900,RULE_SHIP_BEFORE_TEST
an_000140,1,0.9900,
an_000141,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000142,0,0.9900,RULE_METAL_ETCH_NO_LITHO
an_000143,1,1.0000,
an_000144,0,0.9900,RULE_ETCH_NO_MASK
an_000145,1,0.9500,
an_000146,1,0.9900,
an_000147,0,0.9900,RULE_PAD_OPEN_BEFORE_DEP
an_000148,1,0.9800,
an_000149,1,0.9900,
an_000150,1,0.9900,
an_000151,1,0.9900,
an_000152,1,0.9800,
an_000153,1,0.9900,
an_000154,1,0.9900,
an_000155,1,0.9900,
an_000156,0,0.9900,RULE_TEST_BEFORE_PASSIVATION
an_000157,0,0.9900,RULE_SHIP_BEFORE_TEST
an_000158,1,0.9800,
an_000159,1,0.9900,
an_000160,1,0.9900,
an_000161,1,0.9900,
an_000162,0,0.9900,RULE_ETCH_NO_MASK
an_000163,0,0.9900,RULE_CMP_NO_DEP
an_000164,1,0.9800,
an_000165,1,0.9900,
an_000166,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000167,0,0.9900,RULE_CMP_NO_DEP
an_000168,1,0.9900,
an_000169,1,0.9900,
an_000170,1,0.9900,
an_000171,0,0.9900,RULE_SHIP_BEFORE_TEST
an_000172,1,0.9900,
an_000173,1,0.9500,
an_000174,1,0.9900,
an_000175,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000176,0,0.9500,RULE_CMP_NO_DEP
an_000177,0,0.9900,RULE_SHIP_BEFORE_TEST
an_000178,1,0.9900,
an_000179,1,0.9900,
an_000180,1,0.9900,
an_000181,0,0.9500,RULE_ETCH_NO_MASK
an_000182,1,0.9900,
an_000183,1,0.9900,
