EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST,POLYSILICON ETCH
ns_000002,STRIP RESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT INTERLEVEL DIELECTRIC
ns_000003,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN,IMPLANT P BODY
ns_000004,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,CMP VIA FILL
ns_000005,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,DIELECTRIC ETCH VIA
ns_000006,DEPOSIT TOP METAL,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT PASSIVATION,FINAL ELECTRICAL TEST PREP,FINAL CLEAN
ns_000007,ALIGN MASK LEVEL 1,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1
ns_000008,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA CD,MEASURE VIA RESISTANCE
ns_000009,DEPOSIT INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEPOSIT METAL 1,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 3
ns_000010,IMPLANT WELL,IMPLANT P BODY,IMPLANT N BUFFER,IMPLANT CHANNEL STOP,IMPLANT LDD
ns_000011,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE
ns_000012,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,POLYSILICON ETCH
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,HARD BAKE,METAL ETCH
ns_000014,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,HARD BAKE,OXIDE ETCH,MEASURE CD LEVEL 1
ns_000015,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,SHIP LOT
ns_000016,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH,MEASURE VIA CD
ns_000017,BACKSIDE THINNING CHECK,BACKSIDE RINSE,BACKSIDE ETCH CLEAN,DEPOSIT BACKSIDE METAL,BACKSIDE DRY
ns_000018,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE,DEPOSIT INTERLEVEL DIELECTRIC
ns_000019,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE SURFACE PLANARITY
ns_000020,CMP DIELECTRIC,MEASURE PLANARITY,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT BARRIER METAL,DIELECTRIC ETCH VIA
ns_000021,POLYSILICON ETCH,POLYSILICON ETCH DRY,HARD BAKE,STRIP RESIST,CLEAN AFTER POLY ETCH
ns_000022,EPITAXY ANNEAL,WAFER SURFACE CLEAN,THERMAL OXIDATION,MEASURE OXIDE THICKNESS,DEPOSIT GATE OXIDE OR DIELECTRIC
ns_000023,HARD BAKE,OXIDE ETCH,FIELD OXIDE ETCH,CLEAN AFTER OXIDE ETCH,IMPLANT WELL
ns_000024,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA CD,MEASURE VIA RESISTANCE
ns_000025,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE
ns_000026,ANNEAL METAL,MEASURE BACKSIDE CONTACT,MEASURE BACKSIDE ROUGHNESS,BACKSIDE ANNEAL,FINAL CLEAN
ns_000027,BACKSIDE GRIND,BACKSIDE THINNING CHECK,BACKSIDE RINSE,BACKSIDE ETCH CLEAN,BACKSIDE METALLIZATION PREP
ns_000028,DEPOSIT POLYSILICON,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,DEVELOP PHOTORESIST
ns_000029,POST EXPOSE BAKE,PATTERN INSPECTION LEVEL 1,HARD BAKE,OXIDE ETCH,MEASURE CD LEVEL 1
ns_000030,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,THRESHOLD VOLTAGE TEST,BREAKDOWN VOLTAGE TEST
ns_000031,MEASURE SHEET RESISTANCE,DEPOSIT INTERLAYER DIELECTRIC,CMP INTERLAYER DIELECTRIC,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED
ns_000032,FINAL PARTICLE INSPECTION,FINAL OXIDE CHECK,FINAL GEOMETRY CHECK,FINAL ELECTRICAL TEST PREP,SHIP LOT
ns_000033,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,HARD BAKE
ns_000034,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER VIA ETCH,MEASURE VIA CD
ns_000035,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,WAFER SORT TEST,ELECTRICAL PARAMETRIC TEST,SHIP LOT
ns_000036,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL 1,DEPOSIT METAL SEED
ns_000037,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,MEASURE PAD OPENING,FINAL CLEAN,FINAL ELECTRICAL TEST PREP
ns_000038,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,DEVELOP PHOTORESIST
ns_000039,ANISOTROPIC ETCH SPACER,MEASURE SPACER WIDTH,IMPLANT LDD,DEPOSIT INTERLAYER DIELECTRIC,CMP DIELECTRIC
ns_000040,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA CD,MEASURE VIA RESISTANCE
ns_000041,DEPOSIT INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL
ns_000042,DEPOSIT INTERLAYER DIELECTRIC,DENSIFY DIELECTRIC,CMP DIELECTRIC,MEASURE PLANARITY,DEPOSIT METAL SEED
ns_000043,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,SHIP LOT
ns_000044,CURE PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO,PASSIVATION ETCH PAD OPENING
ns_000045,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,HARD BAKE
ns_000046,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE,DEPOSIT INTERLAYER DIELECTRIC,DENSIFY DIELECTRIC,CMP DIELECTRIC
ns_000047,DEPOSIT PAD OXIDE,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT FIELD OXIDE,THERMAL OXIDATION,DEPOSIT INTERLAYER DIELECTRIC
ns_000048,THERMAL OXIDATION,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT PAD OXIDE,DEPOSIT FIELD OXIDE,DEPOSIT INTERLAYER DIELECTRIC
ns_000049,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN,ANNEAL POLYSILICON
ns_000050,ANNEAL METAL,MEASURE BACKSIDE CONTACT,MEASURE BACKSIDE ROUGHNESS,BACKSIDE THINNING CHECK,BACKSIDE CLEAN FINAL
ns_000051,IMPLANT LDD,IMPLANT SOURCE REGION,IMPLANT DRAIN / CATHODE REGION,IMPLANT N-TYPE,IMPLANT P BODY
ns_000052,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE PLANARITY
ns_000053,EPITAXY ANNEAL,MEASURE RESISTIVITY,WAFER SURFACE CLEAN,EPITAXIAL WAFER CHECK,THERMAL OXIDATION
ns_000054,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST,METAL PATTERN INSPECTION,METAL ETCH,STRIP RESIST
ns_000055,CLEAN PAD OPENING,MEASURE PAD OPENING,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST
ns_000056,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN,RAPID THERMAL ANNEAL
ns_000057,CLEAN AFTER OXIDE ETCH,STRIP PHOTORESIST,MEASURE OPENING CD,IMPLANT WELL,DEPOSIT GATE OXIDE OR DIELECTRIC
ns_000058,DEPOSIT POLYSILICON,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,DEVELOP PHOTORESIST
ns_000059,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,HARD BAKE,POLYSILICON ETCH
ns_000060,BACKSIDE THINNING CHECK,BACKSIDE ETCH CLEAN,BACKSIDE RINSE,BACKSIDE DRY,BACKSIDE METALLIZATION PREP
ns_000061,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT BARRIER METAL
ns_000062,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,BREAKDOWN VOLTAGE TEST,THRESHOLD VOLTAGE TEST
ns_000063,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,HARD BAKE,METAL ETCH
ns_000064,DEVELOP PHOTORESIST,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,MEASURE PAD OPENING,FINAL CLEAN
ns_000065,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW LITHO,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 5,EXPOSE LITHO LEVEL 5
ns_000066,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA CD,MEASURE VIA RESISTANCE
ns_000067,CLEAN AFTER OXIDE ETCH,STRIP PHOTORESIST,MEASURE OXIDE QUALITY,IMPLANT WELL,DEPOSIT POLYSILICON
ns_000068,THRESHOLD VOLTAGE TEST,SWITCHING TEST,BREAKDOWN VOLTAGE TEST,FINAL ELECTRICAL TEST PREP,YIELD ANALYSIS
ns_000069,IMPLANT LDD,IMPLANT N-TYPE,IMPLANT P BODY,IMPLANT SOURCE REGION,IMPLANT CHANNEL STOP
ns_000070,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS
ns_000071,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY OXIDE,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 4
ns_000072,DEPOSIT TOP METAL,DEPOSIT BACKSIDE METAL,BACKSIDE CLEAN FINAL,FINAL ELECTRICAL TEST PREP,WAFER SORT TEST
