EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
an_000001,1,0.9500,
an_000002,1,0.9500,
an_000003,0,0.9800,RULE_SHIP_BEFORE_TEST
an_000004,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000005,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000006,1,0.9800,
an_000007,1,0.9800,
an_000008,1,0.9800,
an_000009,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000010,1,0.9500,
an_000011,1,0.9500,
an_000012,1,0.9800,
an_000013,1,0.9500,
an_000014,1,0.9800,
an_000015,1,0.9800,
an_000016,1,0.9500,
an_000017,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000018,1,0.9800,
an_000019,1,0.9800,
an_000020,1,0.9500,
an_000021,1,0.9500,
an_000022,1,0.9800,
an_000023,1,0.9800,
an_000024,1,0.9800,
an_000025,1,0.9800,
an_000026,1,0.9500,
an_000027,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000028,1,0.9500,
an_000029,1,0.9800,
an_000030,1,0.9800,
an_000031,1,0.9800,
an_000032,1,0.9500,
an_000033,0,0.9500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000034,1,0.9500,
an_000035,1,0.9500,
an_000036,1,0.9800,
an_000037,1,0.9800,
an_000038,1,0.9500,
an_000039,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000040,0,0.9500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000041,1,0.9800,
an_000042,1,0.9000,
an_000043,1,0.9800,
an_000044,1,0.9000,
an_000045,1,0.9000,
an_000046,1,0.9000,
an_000047,1,0.9800,
an_000048,1,0.9800,
an_000049,1,0.9800,
an_000050,1,0.9500,
an_000051,1,0.9800,
an_000052,1,0.9000,
an_000053,1,0.9000,
an_000054,1,0.9000,
an_000055,1,0.9000,
an_000056,1,0.9500,
an_000057,1,0.9000,
an_000058,1,0.9000,
an_000059,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000060,1,0.9800,
an_000061,1,0.9500,
an_000062,1,0.9000,
an_000063,1,0.9000,
an_000064,1,0.9000,
an_000065,1,0.9000,
an_000066,1,0.9000,
an_000067,0,0.9200,RULE_PAD_OPEN_BEFORE_DEP
an_000068,0,0.9500,RULE_PAD_OPEN_BEFORE_DEP
an_000069,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000070,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000071,1,0.9800,
an_000072,0,0.9600,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000073,1,0.9800,
an_000074,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000075,1,0.9500,
an_000076,1,0.9800,
an_000077,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000078,1,0.9000,
an_000079,1,0.9000,
an_000080,1,0.9000,
an_000081,1,0.9000,
an_000082,1,0.9000,
an_000083,1,0.9000,
an_000084,1,0.9000,
an_000085,1,0.9000,
an_000086,1,0.9000,
an_000087,1,0.9000,
an_000088,1,0.9000,
an_000089,1,0.9000,
an_000090,1,0.9000,
an_000091,1,0.9500,
an_000092,1,0.9800,
an_000093,1,0.9500,
an_000094,1,0.9800,
an_000095,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000096,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000097,1,0.9800,
an_000098,1,0.9000,
an_000099,1,0.9000,
an_000100,1,0.9800,
an_000101,1,0.9500,
an_000102,1,0.9000,
an_000103,1,0.9500,
an_000104,1,0.9500,
an_000105,1,0.9000,
an_000106,1,0.9000,
an_000107,1,0.9000,
an_000108,1,0.9000,
an_000109,1,0.9000,
an_000110,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000111,1,0.9800,
an_000112,1,0.9000,
an_000113,1,0.9900,
an_000114,1,0.9000,
an_000115,1,0.9000,
an_000116,1,0.9000,
an_000117,1,0.9000,
an_000118,1,0.9000,
an_000119,1,0.9500,
an_000120,1,0.9800,
an_000121,1,0.9500,
an_000122,0,0.9500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000123,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000124,1,0.9500,
an_000125,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000126,1,0.9800,
an_000127,1,0.9800,
an_000128,1,0.9800,
an_000129,1,0.9800,
an_000130,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000131,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000132,1,0.9800,
an_000133,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000134,1,0.9800,
an_000135,0,0.9500,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000136,1,0.9500,
an_000137,1,0.9500,
an_000138,1,0.9800,
an_000139,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000140,1,0.9800,
an_000141,1,0.9500,
an_000142,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000143,1,0.9800,
an_000144,1,0.9800,
an_000145,1,0.9500,
an_000146,1,0.9800,
an_000147,0,0.9500,RULE_PAD_OPEN_BEFORE_DEP
an_000148,1,0.9800,
an_000149,1,0.9800,
an_000150,1,0.9500,
an_000151,1,0.9500,
an_000152,1,0.9500,
an_000153,1,0.9800,
an_000154,1,0.9800,
an_000155,1,0.9800,
an_000156,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000157,0,0.9800,RULE_SHIP_BEFORE_TEST
an_000158,1,0.9800,
an_000159,1,0.9500,
an_000160,1,0.9800,
an_000161,1,0.9800,
an_000162,1,0.9800,
an_000163,0,0.9500,RULE_CMP_NO_DEP
an_000164,1,0.9800,
an_000165,1,0.9500,
an_000166,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000167,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000168,1,0.9800,
an_000169,1,0.9800,
an_000170,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000171,0,0.9800,RULE_SHIP_BEFORE_TEST
an_000172,1,0.9500,
an_000173,1,0.9800,
an_000174,1,0.9800,
an_000175,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000176,1,0.9800,
an_000177,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000178,1,0.9800,
an_000179,1,0.9800,
an_000180,1,0.9800,
an_000181,1,0.9800,
an_000182,1,0.9800,
an_000183,1,0.9800,
an_000184,0,0.9500,RULE_LITHO_LEVEL_SKIP
an_000185,1,0.9800,
an_000186,1,0.9800,
an_000187,1,0.9500,
an_000188,1,0.9500,
an_000189,0,0.9500,RULE_PAD_OPEN_BEFORE_DEP
an_000190,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000191,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000192,1,0.9500,
an_000193,1,0.9500,
an_000194,1,0.9800,
an_000195,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000196,1,0.9800,
an_000197,0,0.9500,RULE_SHIP_BEFORE_TEST
an_000198,1,0.9800,
an_000199,0,0.9500,RULE_PAD_OPEN_BEFORE_DEP
an_000200,1,0.9500,
